108;huaytara;activo;12;8/01/1900;9/01/1900
109;tayacaja;activo;12;8/01/1900;9/01/1900
110;huanuco;activo;13;8/01/1900;9/01/1900
111;ambo;activo;13;8/01/1900;9/01/1900
112;dos de mayo;activo;13;8/01/1900;9/01/1900
113;huacaybamba;activo;13;8/01/1900;9/01/1900
114;huamalies;activo;13;8/01/1900;9/01/1900
115;leoncio pardo;activo;13;8/01/1900;9/01/1900
116;marañon;activo;13;8/01/1900;9/01/1900
117;pachitea;activo;13;8/01/1900;9/01/1900
118;puerto inca;activo;13;8/01/1900;9/01/1900
119;lauricocha;activo;13;8/01/1900;9/01/1900
120;yarowilca;activo;13;8/01/1900;9/01/1900
121;chincha;activo;14;8/01/1900;9/01/1900
122;ica;activo;14;8/01/1900;9/01/1900
123;nazca;activo;14;8/01/1900;9/01/1900
124;palpa;activo;14;8/01/1900;9/01/1900
125;pisco;activo;14;8/01/1900;9/01/1900
126;chanchamayo;activo;15;8/01/1900;9/01/1900
127;chupaca;activo;15;8/01/1900;9/01/1900
128;concepcion;activo;15;8/01/1900;9/01/1900
129;huancayo;activo;15;8/01/1900;9/01/1900
130;jauja;activo;15;8/01/1900;9/01/1900
131;junin;activo;15;8/01/1900;9/01/1900
132;satipo;activo;15;8/01/1900;9/01/1900
133;tarma;activo;15;8/01/1900;9/01/1900
134;yauli;activo;15;8/01/1900;9/01/1900
135;ascope;activo;16;8/01/1900;9/01/1900
136;bolivar;activo;16;8/01/1900;9/01/1900
137;chepen;activo;16;8/01/1900;9/01/1900
138;gran chimu;activo;16;8/01/1900;9/01/1900
139;julcan;activo;16;8/01/1900;9/01/1900
140;otuzco;activo;16;8/01/1900;9/01/1900
141;pacasmayo;activo;16;8/01/1900;9/01/1900
142;pataz;activo;16;8/01/1900;9/01/1900
143;sanchez carrion;activo;16;8/01/1900;9/01/1900
144;santiago de chuco;activo;16;8/01/1900;9/01/1900
145;trujillo;activo;16;8/01/1900;9/01/1900
146;viru;activo;16;8/01/1900;9/01/1900
147;manu;activo;17;8/01/1900;9/01/1900
148;tahuamana;activo;17;8/01/1900;9/01/1900
149;tambopata;activo;17;8/01/1900;9/01/1900
150;alto amazonas;activo;18;8/01/1900;9/01/1900
151;datem del marañon;activo;18;8/01/1900;9/01/1900
152;loreto;activo;18;8/01/1900;9/01/1900
153;MCAL. RAMON CASTILLA;activo;18;8/01/1900;9/01/1900
154;MAYNAS;activo;18;8/01/1900;9/01/1900
155;REQUENA;activo;18;8/01/1900;9/01/1900
156;UCAYALI;activo;18;8/01/1900;9/01/1900
157;GENERAL SANCHEZ CERRO;activo;19;8/01/1900;9/01/1900
158;ILO;activo;19;8/01/1900;9/01/1900
159;mariscal nieto;activo;19;8/01/1900;9/01/1900
160;daniel a. carrion;activo;20;8/01/1900;9/01/1900
161;oxapampa;activo;20;8/01/1900;9/01/1900
162;pasco;activo;20;8/01/1900;9/01/1900
163;bellavista;activo;21;8/01/1900;9/01/1900
164;el dorado;activo;21;8/01/1900;9/01/1900
165;huallaga;activo;21;8/01/1900;9/01/1900
166;lamas;activo;21;8/01/1900;9/01/1900
167;marsical caceres;activo;21;8/01/1900;9/01/1900
168;moyobamba;activo;21;8/01/1900;9/01/1900
169;picota;activo;21;8/01/1900;9/01/1900
170;rioja;activo;21;8/01/1900;9/01/1900
171;san martin;activo;21;8/01/1900;9/01/1900
172;tocache;activo;21;8/01/1900;9/01/1900
173;azangaro;activo;22;8/01/1900;9/01/1900
174;carabaya;activo;22;8/01/1900;9/01/1900
175;chucuito;activo;22;8/01/1900;9/01/1900
176;el collao;activo;22;8/01/1900;9/01/1900
177;huancane;activo;22;8/01/1900;9/01/1900
178;lampa;activo;22;8/01/1900;9/01/1900
179;melgar;activo;22;8/01/1900;9/01/1900
180;moho;activo;22;8/01/1900;9/01/1900
181;puno;activo;22;8/01/1900;9/01/1900
182;san antonio de putina;activo;22;8/01/1900;9/01/1900
183;san roman;activo;22;8/01/1900;9/01/1900
184;sandia;activo;22;8/01/1900;9/01/1900
185;yunguyo;activo;22;8/01/1900;9/01/1900
186;candarave;activo;23;8/01/1900;9/01/1900
187;jorge basarde;activo;23;8/01/1900;9/01/1900
188;tacna;activo;23;8/01/1900;9/01/1900
189;tarata;activo;23;8/01/1900;9/01/1900
190;atalaya;activo;24;8/01/1900;9/01/1900
191;coronel portillo;activo;24;8/01/1900;9/01/1900
192;padre abad;activo;24;8/01/1900;9/01/1900
193;purus;activo;24;8/01/1900;9/01/1900
194;callao;activo;1;8/01/1900;9/01/1900
