88;ZUnIGA;activo;1;6;2/01/1900;3/01/1900
89;BARRANCA;activo;1;7;2/01/1900;3/01/1900
90;PARAMONGA;activo;1;7;2/01/1900;3/01/1900
91;PATIVILCA;activo;1;7;2/01/1900;3/01/1900
92;SUPE;activo;1;7;2/01/1900;3/01/1900
93;SUPE PUERTO;activo;1;7;2/01/1900;3/01/1900
94;HUARAL;activo;1;8;2/01/1900;3/01/1900
95;ATAVILLOS ALTO (Pirca);activo;1;8;2/01/1900;3/01/1900
96;ATAVILLOS BAJO (Sn. Agustín de Huayapampa);activo;1;8;2/01/1900;3/01/1900
97;AUCALLAMA;activo;1;8;2/01/1900;3/01/1900
98;CHANCAY;activo;1;8;2/01/1900;3/01/1900
99;IHUARI;activo;1;8;2/01/1900;3/01/1900
100;LAMPIAN;activo;1;8;2/01/1900;3/01/1900
101;PACARAOS;activo;1;8;2/01/1900;3/01/1900
102;SAN MIGUEL DE ACOS (Acos);activo;1;8;2/01/1900;3/01/1900
103;SANTA CRUZ DE ANDAMARCA;activo;1;8;2/01/1900;3/01/1900
104;SUMBILCA;activo;1;8;2/01/1900;3/01/1900
105;VEINTISIETE DE NOVIEMBRE (Carac);activo;1;8;2/01/1900;3/01/1900
106;MATUCANA;activo;1;9;2/01/1900;3/01/1900
107;ANTIOQUIA;activo;1;9;2/01/1900;3/01/1900
108;CALLAHUANCA;activo;1;9;2/01/1900;3/01/1900
109;CARAMPOMA;activo;1;9;2/01/1900;3/01/1900
110;CHICLA;activo;1;9;2/01/1900;3/01/1900
111;CUENCA (Sn. José de los Chorrillos);activo;1;9;2/01/1900;3/01/1900
112;HUACHUPAMPA (Sn. Lorenzo de Huachupampa);activo;1;9;2/01/1900;3/01/1900
113;HUANZA;activo;1;9;2/01/1900;3/01/1900
114;HUAROCHIRI;activo;1;9;2/01/1900;3/01/1900
115;LAHUAYTAMBO;activo;1;9;2/01/1900;3/01/1900
116;LANGA;activo;1;9;2/01/1900;3/01/1900
117;LARAOS;activo;1;9;2/01/1900;3/01/1900
118;MARIATANA;activo;1;9;2/01/1900;3/01/1900
119;RICARDO PALMA;activo;1;9;2/01/1900;3/01/1900
120;SAN ANDRES DE TUPICOCHA;activo;1;9;2/01/1900;3/01/1900
121;SAN ANTONIO (Chaclla);activo;1;9;2/01/1900;3/01/1900
122;SAN BARTOLOME;activo;1;9;2/01/1900;3/01/1900
123;SAN DAMIAN;activo;1;9;2/01/1900;3/01/1900
124;SAN JUAN DE IRIS;activo;1;9;2/01/1900;3/01/1900
125;SAN JUAN DE TANTARANCHE;activo;1;9;2/01/1900;3/01/1900
126;SAN LORENZO DE QUINTI;activo;1;9;2/01/1900;3/01/1900
127;SAN MATEO;activo;1;9;2/01/1900;3/01/1900
128;SAN MATEO DE OTAO (Sn. Juan de Lanca);activo;1;9;2/01/1900;3/01/1900
129;SAN PEDRO DE CASTA;activo;1;9;2/01/1900;3/01/1900
130;SAN PEDRO DE HUANCAYRE (Sn. Pedro);activo;1;9;2/01/1900;3/01/1900
131;SANGALLAYA;activo;1;9;2/01/1900;3/01/1900
132;SANTA CRUZ DE COCACHACRA (Cocachacra);activo;1;9;2/01/1900;3/01/1900
133;SANTA EULALIA;activo;1;9;2/01/1900;3/01/1900
134;SANTIAGO DE ANCHUCAYA;activo;1;9;2/01/1900;3/01/1900
135;SANTIAGO DE TUNA;activo;1;9;2/01/1900;3/01/1900
136;SANTO DOMINGO DE LOS OLLEROS;activo;1;9;2/01/1900;3/01/1900
137;SURCO;activo;1;9;2/01/1900;3/01/1900
138;HUACHO;activo;1;10;2/01/1900;3/01/1900
139;AMBAR;activo;1;10;2/01/1900;3/01/1900
140;CALETA DE CARQUIN;activo;1;10;2/01/1900;3/01/1900
141;CHECRAS (Maray);activo;1;10;2/01/1900;3/01/1900
142;HUALMAY;activo;1;10;2/01/1900;3/01/1900
143;HUAURA;activo;1;10;2/01/1900;3/01/1900
144;LEONCIO PRADO (Sta. Cruz);activo;1;10;2/01/1900;3/01/1900
145;PACCHO;activo;1;10;2/01/1900;3/01/1900
146;SANTA LEONOR (Jucul);activo;1;10;2/01/1900;3/01/1900
147;SANTA MARIA (Cruz Blanca);activo;1;10;2/01/1900;3/01/1900
148;SAYAN;activo;1;10;2/01/1900;3/01/1900
149;VEGUETA;activo;1;10;2/01/1900;3/01/1900
150;OYON;activo;1;11;2/01/1900;3/01/1900
151;ANDAJES;activo;1;11;2/01/1900;3/01/1900
152;CAUJUL;activo;1;11;2/01/1900;3/01/1900
153;COCHAMARCA;activo;1;11;2/01/1900;3/01/1900
154;NAVAN;activo;1;11;2/01/1900;3/01/1900
