58;VIOLENCIA DE GENERO Y FEMINICIDIO;activo;800;6;0/01/1900;0/01/1900
59;LEGISLACION LABORAL Y PLANILLAS ELECTRONICA;activo;800;6;0/01/1900;0/01/1900
60;CONTROL GUBERNAMENTAL Y AUDITORIA PUBLICA;activo;800;6;0/01/1900;0/01/1900
61;DERECHO PROCESAL Y PENAL;activo;800;6;0/01/1900;0/01/1900
62;COMPUTACION E INFORMATICA;activo;800;7;0/01/1900;0/01/1900
63;ADMINISTRACIÓN EN LOS SERVICIOS DE ENFERMERÍA;activo;800;1;0/01/1900;0/01/1900
64;FISIOTERAPIA Y REHABILITACION;activo;800;1;0/01/1900;0/01/1900
65;CALIDAD EN LOS SERVICIOS TECNICOS EN ENFERMERIA;activo;800;1;0/01/1900;0/01/1900
66;EPIDEMIOLOGIA;activo;800;1;0/01/1900;0/01/1900
67;ATENCION EN SALUD COMUNITARIA Y FAMILIAR;activo;800;1;0/01/1900;0/01/1900
68;GERIATRIA CUIDADOS DEL ADULTO MAYOR;activo;800;1;0/01/1900;0/01/1900
69;ADMINISTRACION EDUCATIVA;activo;800;2;0/01/1900;0/01/1900
70;ANDRAGOGIA- DOCENCIA EN EDUCACION DE ADULTOS;activo;800;2;0/01/1900;0/01/1900
71;DOCENCIA UNIVERSITARIA;activo;800;2;0/01/1900;0/01/1900
72;TECNICAS PEDAGOGICAS EN EDUCACION ESPECIAL;activo;800;2;0/01/1900;0/01/1900
73;ESTIMULACION Y ATENCION TEMPRANA;activo;800;2;0/01/1900;0/01/1900
74;EVALUACION PEDAGOGICA Y TEORIA DEL APRENDIZAJE;activo;800;2;0/01/1900;0/01/1900
75;INTELIGENCIA EMOCIONAL Y MOTIVACION EDUCATIVA;activo;800;2;0/01/1900;0/01/1900
76;NEUROCIENCIAS PEDAGOGICA;activo;800;2;0/01/1900;0/01/1900
77;NUEVA DIDACTICA E INVESTIGACION MATEMATICA;activo;800;2;0/01/1900;0/01/1900
